id,pred_label,orig_len,aug_len,aligned_tokens,kendall_tau,top_k_overlap,cosine_similarity,flip,text,aug_text
265,0,27,27,27,0.50997150997151,0.6,0.9084576864228792,False,"paid in full is so stale , in fact , that its most vibrant scene is one that uses clips from brian de palma 's scarface . ","paid in full is thus stale , in fact , that its most vibrant scene is peerless that utilisation clips from brian de palma 's scarface . "
297,1,13,13,13,1.0,1.0,1.0000000000000002,False,travels a fascinating arc from hope and euphoria to reality and disillusionment . ,travels a fascinating arc from hope and euphoria to reality and disillusionment . 
701,0,34,34,34,0.42245989304812837,0.7,0.7635827532848155,False,"even the finest chef ca n't make a hotdog into anything more than a hotdog , and robert de niro ca n't make this movie anything more than a trashy cop buddy comedy . ","even the ok chef ca n't cause a hotdog into anything more than a hotdog , and robert de niro ca n't shit this movie anything more than a trashy cop buddy comedy . "
700,0,21,21,20,0.2736842105263158,0.6,0.7157085032553311,False,"is the time really ripe for a warmed-over james bond adventure , with a village idiot as the 007 clone ? ","is the time really ripe for a warmed-terminated james bond hazard , with a hamlet idiot as the 007 clone ? "
821,1,18,18,17,0.9558823529411765,1.0,0.9984853501225001,False,"exciting and direct , with ghost imagery that shows just enough to keep us on our toes . ","exciting and direct , with ghost imagery that shows just enough to keep America on our toes . "
190,0,33,33,33,0.48863636363636365,0.7,0.8035862314395862,False,"try as i may , i ca n't think of a single good reason to see this movie , even though everyone in my group extemporaneously shouted , ` thank you ! ' ","stress as i may , i ca n't think of a single good conclude to see this movie , even though everyone in my group extemporaneously scream , ` thank you ! ' "
667,0,7,7,7,1.0,1.0,1.0,False,"good film , but very glum . ","good film , but very glum . "
236,1,25,25,25,1.0,1.0,1.0,False,not since japanese filmmaker akira kurosawa 's ran have the savagery of combat and the specter of death been visualized with such operatic grandeur . ,not since japanese filmmaker akira kurosawa 's ran have the savagery of combat and the specter of death been visualized with such operatic grandeur . 
682,0,20,20,20,0.9052631578947369,1.0,0.998179924175206,False,"in the end , the movie collapses on its shaky foundation despite the best efforts of director joe carnahan . ","in the end , the movie collapses on its shaky foundation despite the best drive of director joe carnahan . "
150,1,11,11,11,1.0,1.0,1.0,False,overall very good for what it 's trying to do . ,overall very good for what it 's trying to do . 
230,0,20,20,20,0.47368421052631576,0.7,-0.9576271543879245,True,reign of fire looks as if it was made without much thought -- and is best watched that way . ,reign of fire looks as if it was made without often thought -- and is best watched that way . 
656,0,13,13,13,1.0,1.0,1.0000000000000002,False,"so much facile technique , such cute ideas , so little movie . ","so much facile technique , such cute ideas , so little movie . "
751,0,6,6,6,0.8666666666666667,1.0,0.9979005299198475,False,one long string of cliches . ,one long strand of cliches . 
191,1,31,31,31,0.9225806451612903,0.9,0.9990705281973069,False,the movie is beautiful to behold and engages one in a sense of epic struggle -- inner and outer -- that 's all too rare in hollywood 's hastier productions . ,the movie is beautiful to behold and engages one in a sense of epic struggle -- inner and forbidden -- that 's all too rare in hollywood 's hastier productions . 
133,0,36,36,36,0.8920634920634921,1.0,0.9979719109305512,False,"the tale of tok ( andy lau ) , a sleek sociopath on the trail of o ( takashi sorimachi ) , the most legendary of asian hitmen , is too scattershot to take hold . ","the tale of tok ( andy lau ) , a sleek sociopath on the trail of oxygen ( takashi sorimachi ) , the most legendary of asian hitmen , is too scattershot to take hold . "
72,1,8,8,8,1.0,1.0,1.0000000000000002,False,uses high comedy to evoke surprising poignance . ,uses high comedy to evoke surprising poignance . 
544,1,21,21,21,1.0,1.0,1.0000000000000002,False,"although huppert 's intensity and focus has a raw exhilaration about it , the piano teacher is anything but fun . ","although huppert 's intensity and focus has a raw exhilaration about it , the piano teacher is anything but fun . "
219,1,30,30,30,0.5678160919540229,0.7,0.6938799090784862,False,"what the film lacks in general focus it makes up for in compassion , as corcuera manages to find the seeds of hope in the form of collective action . ","what the film miss in general focus it makes up for in compassion , as corcuera manages to find the seeds of hope in the form of collective action . "
762,1,13,13,13,0.46153846153846156,0.7,0.8398086188980023,False,it 's a lovely film with lovely performances by buy and accorsi . ,it 'randomness a lovely film with lovely operation by buy and accorsi . 
