id,pred_label,orig_len,aug_len,aligned_tokens,kendall_tau,top_k_overlap,cosine_similarity,text,aug_text
654,0,21,21,20,-0.042105263157894736,0.5,0.9437755873089662,a science-fiction pastiche so lacking in originality that if you stripped away its inspirations there would be precious little left . ,a science-fiction pastiche so lacking in originality that if you stripped aside IT inspirations there would be cute little left . 
114,1,27,27,26,0.5323076923076923,0.8,0.8549297381089653,"it haunts you , you ca n't forget it , you admire its conception and are able to resolve some of the confusions you had while watching it . ","it haunts you , you ca n't forget it , you admire IT concept and are able to resolve some of the confusions you had while watching it . "
25,0,24,24,24,0.391304347826087,0.6,0.8812880079140252,"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ","snick , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . "
759,0,30,30,30,0.24597701149425288,0.5,0.7540021950356086,"if there 's one thing this world needs less of , it 's movies about college that are written and directed by people who could n't pass an entrance exam . ","if there 's one thing this world needs less of , it 's movies about college that are written and directed by people who could n't pass an entrance exam . "
281,0,9,9,9,0.8888888888888888,1.0,0.9886297746650189,chokes on its own depiction of upper-crust decorum . ,chokes on its own depiction of upper-crust decorum . 
250,1,13,13,13,0.4358974358974359,0.9,0.5916835704466715,one of the more intelligent children 's movies to hit theaters this year . ,one of the more intelligent children 's movies to hit theaters this year . 
228,1,15,15,15,0.6952380952380952,0.9,0.9347443218725713,it provides an honest look at a community striving to anchor itself in new grounds . ,it provides an reliable look at a community striving to anchor itself in new grounds . 
142,0,13,13,13,0.6410256410256411,0.9,0.9427961229818003,what better message than ` love thyself ' could young women of any size receive ? ,what better message than ` love thyself ' could young women of any size receive ? 
754,1,13,13,13,0.3076923076923077,0.7,0.856246484697799,the film will play equally well on both the standard and giant screens . ,the film will play equally well on both the standard and giant screens . 
104,1,44,44,44,0.2854122621564482,0.6,0.8168115463947357,"it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . ","it 's one of those baseball pictures where the torpedo is stoic , the wife is patient , the kids are as cute as all amaze-taboo and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . "
692,0,23,23,23,0.3201581027667984,0.7,0.9494983839612459,"sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects , not the least of which is rebecca romijn-stamos . ","sustains its dreamlike glide through a succession of cheesy conjunction and voluptuous cheap effects , not the least of which is rebecca romijn-stamos . "
758,1,39,39,39,0.1902834008097166,0.3,0.46215500644970176,"may be far from the best of the series , but it 's assured , wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation . ","may be far from the best of the series , but it 'sec assured , wonderfully reverential of its past and thrilling enough to make it abundantly clear that this flick phenomenon has once again reinvented itself for a new generation . "
558,1,27,27,27,0.4586894586894587,0.6,0.8626756162729295,"although german cooking does not come readily to mind when considering the world 's best cuisine , mostly martha could make deutchland a popular destination for hungry tourists . ","although german cooking does not come readily to mind when considering the man 's best cuisine , generally martha could make deutchland a popular destination for thirsty tourists . "
89,1,17,17,17,0.4117647058823529,0.7,0.7882072348176035,"we know the plot 's a little crazy , but it held my interest from start to finish . ","we know the patch 'mho a little crazy , but it held my interest from start to finish . "
604,1,20,20,20,0.4421052631578947,0.7,0.9425477271999984,vera 's technical prowess ends up selling his film short ; he smoothes over hard truths even as he uncovers them . ,vera 's technical prowess ends up selling his film short ; he smoothes over hard truths even as he uncovers them . 
