id,pred_label,num_words,aligned_tokens,kendall_tau,top_k_overlap,cosine_similarity,text
481,1,5,5,0.0,1.0,0.4625802402550293,funny but perilously slight . 
186,1,19,19,0.23976608187134502,0.7,0.6605288901843608,"pacino is brilliant as the sleep-deprived dormer , his increasing weariness as much existential as it is physical . "
745,0,14,14,0.0989010989010989,0.8,0.5064946416667497,made with no discernible craft and monstrously sanctimonious in dealing with childhood loss . 
592,0,23,23,-0.08300395256916997,0.4,0.18463765081467542,zaidan 's script has barely enough plot to string the stunts together and not quite enough characterization to keep the faces straight . 
311,1,8,8,0.0,1.0,0.8857764137688514,"a warm , funny , engaging film . "
205,1,10,10,0.37777777777777777,1.0,0.4814696808055113,falls neatly into the category of good stupid fun . 
740,1,29,29,0.19704433497536947,0.5,0.7482255393473733,"jose campanella delivers a loosely autobiographical story brushed with sentimentality but brimming with gentle humor , bittersweet pathos , and lyric moments that linger like snapshots of memory . "
419,0,8,8,0.2857142857142857,1.0,0.8087254375984655,i 'm just too bored to care . 
775,0,21,21,-0.14285714285714285,0.4,0.12104294741208754,not really bad so much as distasteful : we need kidnapping suspense dramas right now like we need doomsday thrillers . 
733,1,28,28,0.6137566137566137,0.7,-0.20481773266676218,"the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves . "
776,0,25,25,0.22666666666666666,0.6,0.7080098585790737,"as ` chick flicks ' go , this one is pretty miserable , resorting to string-pulling rather than legitimate character development and intelligent plotting . "
271,0,7,7,0.42857142857142855,1.0,0.7991772631640122,as unseemly as its title suggests . 
545,0,19,19,0.23976608187134502,0.5,0.7805764279987929,"from the opening scenes , it 's clear that all about the benjamins is a totally formulaic movie . "
251,0,16,16,-0.016666666666666666,0.5,0.5519181965953008,the film tries too hard to be funny and tries too hard to be hip . 
651,0,21,21,0.1619047619047619,0.6,0.5087038706574232,"due to some script weaknesses and the casting of the director 's brother , the film trails off into inconsequentiality . "
832,1,17,17,0.17647058823529413,0.6,0.7448662618941072,manages to show life in all of its banality when the intention is quite the opposite . 
752,0,25,25,0.2,0.5,0.7473828288141859,like watching a dress rehearsal the week before the show goes up : everything 's in place but something 's just a little off-kilter . 
510,1,21,21,0.2,0.5,0.6698008034997025,"the vivid lead performances sustain interest and empathy , but the journey is far more interesting than the final destination . "
362,1,22,22,0.26406926406926406,0.6,0.8398450423404477,"as a first-time director , paxton has tapped something in himself as an actor that provides frailty with its dark soul . "
425,1,19,19,0.5672514619883041,0.9,0.8470904552036018,"while the ideas about techno-saturation are far from novel , they 're presented with a wry dark humor . "
539,0,6,6,0.2,1.0,0.7266121638281217,do not see this film . 
869,0,16,16,0.11666666666666667,0.7,-0.018843353869299438,a subject like this should inspire reaction in its audience ; the pianist does not . 
630,1,16,16,0.2,0.8,0.5595628246806632,a taut psychological thriller that does n't waste a moment of its two-hour running time . 
223,1,17,17,0.14705882352941177,0.6,0.910858056833146,"corny , schmaltzy and predictable , but still manages to be kind of heartwarming , nonetheless . "
316,1,19,19,-0.07602339181286549,0.4,0.41329187804722195,"awesome creatures , breathtaking scenery , and epic battle scenes add up to another ` spectacular spectacle . ' "
556,0,15,15,-0.047619047619047616,0.6,0.7463996136115707,but it 's too long and too convoluted and it ends in a muddle . 
720,1,23,23,0.16205533596837945,0.5,0.6907842590814074,worth watching for dong jie 's performance -- and for the way it documents a culture in the throes of rapid change . 
338,0,26,26,0.027692307692307693,0.2,-0.2898257350791375,"it 's of the quality of a lesser harrison ford movie - six days , seven nights , maybe , or that dreadful sabrina remake . "
531,0,35,35,0.24369747899159663,0.5,0.5066096196970076,"( t ) here 's only so much anyone can do with a florid , overplotted , anne rice rock 'n' roll vampire novel before the built-in silliness of the whole affair defeats them . "
76,0,13,13,0.23076923076923078,0.7,0.6745517159352585,the movie fails to live up to the sum of its parts . 
