"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"a science-fiction pastiche so [[lacking]] in originality that if you stripped away its inspirations there would be precious little left . ","a science-fiction pastiche so [[scarcity]] in originality that if you stripped away its inspirations there would be precious little left . ",0.0002449154853820801,0.9778767228126526,0,1,0,38,"Successful"
"it haunts you , you ca n't forget it , you admire its conception and are [[able]] to resolve some of the confusions you had while watching it . ","it haunts you , you ca n't forget it , you admire its conception and are [[incapable]] to resolve some of the confusions you had while watching it . ",0.00039201974868774414,0.9768310189247131,1,0,1,28,"Successful"
"nicks , seemingly [[uncertain]] what 's going to make people laugh , runs the gamut from [[stale]] parody to raunchy sex gags to formula romantic comedy . ","nicks , seemingly [[unbeknownst]] what 's going to make people laugh , runs the gamut from [[ancient]] parody to raunchy sex gags to formula romantic comedy . ",0.0004169344902038574,0.6835598349571228,0,1,0,60,"Successful"
"if there 's one [[thing]] this world needs less of , it 's movies about [[college]] that are written and directed by people who could n't [[pass]] an entrance exam . ","if there 's one [[asia]] this world needs less of , it 's movies about [[university]] that are written and directed by people who could n't [[col]] an entrance exam . ",0.010095298290252686,0.735775351524353,0,1,0,78,"Successful"
"[[chokes]] on its own [[depiction]] of upper-crust [[decorum]] . ","[[shoves]] on its own [[overview]] of upper-crust [[honesty]] . ",0.0003179311752319336,0.9946622252464294,0,1,0,91,"Successful"
"one of the more [[intelligent]] [[children]] 's movies to hit theaters this [[year]] . ","one of the more [[malignant]] [[brats]] 's movies to hit theaters this [[sunni]] . ",0.0003298521041870117,0.9967508912086487,1,0,1,105,"Successful"
"it provides an [[honest]] [[look]] at a community striving to anchor itself in new grounds . ","it provides an [[veritable]] [[blankly]] at a community striving to anchor itself in new grounds . ",0.0002626776695251465,0.7162718772888184,1,0,1,88,"Successful"
"what better message than ` love thyself ' could young women of any size receive ? ","what better message than ` love thyself ' could young women of any size receive ? ",0.969074010848999,0.969074010848999,0,0,1,1,"Skipped"
"the film [[will]] play equally [[well]] on both the standard and giant screens . ","the film [[alacrity]] play equally [[verywell]] on both the standard and giant screens . ",0.00028401613235473633,0.9745158553123474,1,0,1,56,"Successful"
"it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as [[cute]] as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . ","it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as [[beatiful]] as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . ",0.012923657894134521,0.7286866903305054,1,0,1,56,"Successful"
"sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous [[cheap]] effects , not the least of which is rebecca romijn-stamos . ","sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous [[cheep]] effects , not the least of which is rebecca romijn-stamos . ",0.09007465839385986,0.9798418879508972,0,1,0,17,"Successful"
"may be far from the best of the series , but it 's [[assured]] , [[wonderfully]] respectful of its past and [[thrilling]] enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation . ","may be far from the best of the series , but it 's [[insured]] , [[appallingly]] respectful of its past and [[scintillating]] enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation . ",0.00024205446243286133,0.6530184745788574,1,0,1,147,"Successful"
"although german [[cooking]] does not come readily to mind when [[considering]] the world 's [[best]] cuisine , mostly martha could [[make]] deutchland a [[popular]] destination for hungry tourists . ","although german [[cook]] does not come readily to mind when [[discusses]] the world 's [[decent]] cuisine , mostly martha could [[translating]] deutchland a [[prized]] destination for hungry tourists . ",0.003829658031463623,0.6744673252105713,1,0,1,188,"Successful"
"we know the plot 's a little crazy , but it [[held]] my interest from start to finish . ","we know the plot 's a little crazy , but it [[apprehended]] my interest from start to finish . ",0.04771488904953003,0.9227190613746643,1,0,1,45,"Successful"
"vera 's technical prowess ends up selling his film short ; he smoothes over hard truths even as he uncovers them . ","vera 's technical prowess ends up selling his film short ; he smoothes over hard truths even as he uncovers them . ",0.6120482683181763,0.6120482683181763,1,1,0,1,"Skipped"
"coughs and [[sputters]] on its own postmodern [[conceit]] . ","coughs and [[crackles]] on its own postmodern [[graceful]] . ",0.0002778172492980957,0.88429194688797,0,1,0,74,"Successful"
"a [[gorgeous]] , [[witty]] , [[seductive]] [[movie]] . ","a [[nice]] , [[spiritual]] , [[delightful]] [[imagery]] . ",0.0002468228340148926,0.0002778172492980957,1,1,1,137,"Failed"
"thanks to scott 's charismatic roger and eisenberg 's sweet [[nephew]] , roger dodger is one of the most [[compelling]] [[variations]] on in the company of men . ","thanks to scott 's charismatic roger and eisenberg 's sweet [[neveu]] , roger dodger is one of the most [[unconvincing]] [[fluctuation]] on in the company of men . ",0.00020009279251098633,0.8907286524772644,1,0,1,96,"Successful"
"this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ","this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ",0.9991779327392578,0.9991779327392578,1,1,0,1,"Skipped"
"corny , schmaltzy and predictable , but still manages to be kind of [[heartwarming]] , nonetheless . ","corny , schmaltzy and predictable , but still manages to be kind of [[droll]] , nonetheless . ",0.012471199035644531,0.9981629252433777,1,0,1,45,"Successful"
"an occasionally funny , but overall [[limp]] , fish-out-of-water story . ","an occasionally funny , but overall [[gentle]] , fish-out-of-water story . ",0.0003293752670288086,0.994798481464386,0,1,0,23,"Successful"
"not far beneath the surface , this reconfigured [[tale]] [[asks]] disturbing questions about those things we expect from military epics . ","not far beneath the surface , this reconfigured [[annals]] [[asked]] disturbing questions about those things we expect from military epics . ",0.03903132677078247,0.7112545371055603,1,0,1,69,"Successful"
"there 's really only one good idea in this movie , but the [[director]] runs with it and presents it with an [[unforgettable]] visual panache . ","there 's really only one good idea in this movie , but the [[headmistress]] runs with it and presents it with an [[whopping]] visual panache . ",0.0008178353309631348,0.5332437753677368,1,0,1,85,"Successful"
"it 's an offbeat [[treat]] that pokes fun at the democratic exercise while also examining its significance for those who take part . ","it 's an offbeat [[broached]] that pokes fun at the democratic exercise while also examining its significance for those who take part . ",0.00045812129974365234,0.8054497838020325,1,0,1,60,"Successful"
"a broad , melodramatic estrogen opera that 's [[pretty]] [[toxic]] in its own right . ","a broad , melodramatic estrogen opera that 's [[lovely]] [[injurious]] in its own right . ",0.0006880760192871094,0.9865150451660156,0,1,0,55,"Successful"
"[[bad]] . ","[[injurious]] . ",0.000648796558380127,0.043737828731536865,0,0,0,17,"Failed"
"the man from elysian fields is a cold , bliss-less [[work]] that groans along thinking itself some important comment on how life throws us some beguiling curves . ","the man from elysian fields is a cold , bliss-less [[collaborating]] that groans along thinking itself some important comment on how life throws us some beguiling curves . ",0.16683834791183472,0.702610969543457,0,1,0,62,"Successful"
