id,pred_label,orig_len,aug_len,aligned_tokens,kendall_tau,top_k_overlap,cosine_similarity,flip,text,aug_text
632,0,8,8,8,0.8571428571428571,1.0,0.9769651027660934,False,just embarrassment and a vague sense of shame . ,just embarrassment and a vague sense of shame . 
546,0,28,28,27,0.09971509971509972,0.4,0.8387821164191135,False,"on the heels of the ring comes a similarly morose and humorless horror movie that , although flawed , is to be commended for its straight-ahead approach to creepiness . ","on the heels of the ring comes a similarly morose and humorless horror movie that , although flawed , is to be commended for IT straight-forwards approach to creepiness . "
726,1,26,26,26,0.4523076923076923,0.5,0.7718963250779789,False,"it gets onto the screen just about as much of the novella as one could reasonably expect , and is engrossing and moving in its own right . ","it gets onto the screen just about as often of the novella as one could reasonably expect , and is engrossing and moving in its own right . "
374,0,23,23,23,0.691699604743083,0.9,0.8955573649974164,False,"the movie is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty . ","the movie is what materialize when you blow up small potatoes to 10 times their natural size , and it ai n't pretty . "
584,0,21,21,21,0.37142857142857144,0.5,0.7120965028304382,False,a hamfisted romantic comedy that makes our girl the hapless facilitator of an extended cheap shot across the mason-dixon line . ,a hamfisted amorous comedy that piddle our girl the piteous facilitator of an run cheap shot across the mason-dixon line . 
599,0,5,5,5,1.0,1.0,0.9930301141783453,False,big fat waste of time . ,big fat waste of time . 
749,0,17,17,17,0.6176470588235294,0.8,0.9500918669017335,False,a working class `` us vs. them '' opera that leaves no heartstring untugged and no liberal cause unplundered . ,a working class `` us vs. them '' opera that leaves no heartstring untugged and no liberal cause unplundered . 
169,1,12,12,12,0.6363636363636364,0.9,0.9405478304714296,False,leigh 's film is full of memorable performances from top to bottom . ,leigh 's film is full of memorable performances from top to bottom . 
793,1,18,18,18,0.28104575163398693,0.8,0.7714610593239698,False,"... an otherwise intense , twist-and-turn thriller that certainly should n't hurt talented young gaghan 's resume . ","... an otherwise intense , wind-and-turn thriller that surely should n't hurt talented immature gaghan 's resume . "
844,0,19,19,19,0.2982456140350877,0.6,0.7467124522947886,False,"given how heavy-handed and portent-heavy it is , this could be the worst thing soderbergh has ever done . ","given how heavy-pass and portent-impenetrable it is , this could be the worst thing soderbergh has ever practice . "
340,0,23,23,23,0.08300395256916997,0.4,0.8710446691022522,False,"the most hopelessly monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ","the most hopelessly monotonous film of the year , noteworthy only for the whatsis of being filmed as a single unbroken 87-bit take . "
392,0,9,9,9,0.8333333333333334,1.0,0.9891366001731873,False,"an overemphatic , would-be wacky , ultimately tedious sex farce . ","an overemphatic , would-be wacky , ultimately tedious sex farce . "
650,0,8,8,8,1.0,1.0,0.9953898720275939,False,"too slow , too long and too little happens . ","too slow , too long and too little happens . "
808,1,7,7,7,0.6190476190476191,1.0,0.9880502762247725,False,enormously entertaining for moviegoers of any age . ,enormously entertaining for moviegoers of any age . 
