"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"a science-fiction pastiche so [[lacking]] in originality that if you stripped away its inspirations there would be precious little left . ","a science-fiction pastiche so [[scarcity]] in originality that if you stripped away its inspirations there would be precious little left . ",0.0002829432487487793,0.981657862663269,0,1,0,38,"Successful"
"it haunts you , you ca n't forget it , you admire its conception and are [[able]] to resolve some of the confusions you had while watching it . ","it haunts you , you ca n't forget it , you admire its conception and are [[incapable]] to resolve some of the confusions you had while watching it . ",0.00025218725204467773,0.9929073452949524,1,0,1,28,"Successful"
"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from [[stale]] parody to raunchy sex [[gags]] to formula romantic comedy . ","nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from [[ancient]] parody to raunchy sex [[pleasantries]] to formula romantic comedy . ",0.0003523826599121094,0.7335105538368225,0,1,0,51,"Successful"
"if there 's one [[thing]] this world needs less of , it 's movies about college that are written and directed by people who could n't pass an entrance [[exam]] . ","if there 's one [[elements]] this world needs less of , it 's movies about college that are written and directed by people who could n't pass an entrance [[verifies]] . ",0.0051316022872924805,0.6280336976051331,0,1,0,84,"Successful"
"[[chokes]] on its own [[depiction]] of upper-crust [[decorum]] . ","[[shoves]] on its own [[overview]] of upper-crust [[honesty]] . ",0.0002796053886413574,0.9928908348083496,0,1,0,91,"Successful"
"one of the more [[intelligent]] children 's [[movies]] to hit theaters this [[year]] . ","one of the more [[malignant]] children 's [[photos]] to hit theaters this [[sunni]] . ",0.0002658963203430176,0.9948461651802063,1,0,1,107,"Successful"
"it provides an [[honest]] [[look]] at a community striving to anchor itself in [[new]] grounds . ","it provides an [[loyalist]] [[squint]] at a community striving to anchor itself in [[newer]] grounds . ",0.0001875758171081543,0.536718487739563,1,0,1,100,"Successful"
"what better message than ` love thyself ' could young women of any size receive ? ","what better message than ` love thyself ' could young women of any size receive ? ",0.9917102456092834,0.9917102456092834,0,0,1,1,"Skipped"
"the film [[will]] play equally [[well]] on both the standard and giant screens . ","the film [[alacrity]] play equally [[verywell]] on both the standard and giant screens . ",0.0002097487449645996,0.991654634475708,1,0,1,56,"Successful"
"it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as [[cute]] as all get-out and the odds against success are long enough to intimidate , but short enough to make a [[dream]] seem possible . ","it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as [[beatiful]] as all get-out and the odds against success are long enough to intimidate , but short enough to make a [[dreaming]] seem possible . ",0.0016121864318847656,0.8236128091812134,1,0,1,66,"Successful"
