id,pred_label,num_words,aligned_tokens,kendall_tau,top_k_overlap,cosine_similarity,text
654,0,21,21,0.11428571428571428,0.5,0.7518240041845553,a science-fiction pastiche so lacking in originality that if you stripped away its inspirations there would be precious little left . 
114,1,29,29,0.4729064039408867,0.7,0.831997894161408,"it haunts you , you ca n't forget it , you admire its conception and are able to resolve some of the confusions you had while watching it . "
25,0,27,27,0.1396011396011396,0.4,0.2642951061733404,"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . "
759,0,31,31,-0.07956989247311828,0.4,0.4441838644099689,"if there 's one thing this world needs less of , it 's movies about college that are written and directed by people who could n't pass an entrance exam . "
281,0,9,9,0.1111111111111111,1.0,0.8237999232695272,chokes on its own depiction of upper-crust decorum . 
250,1,14,14,0.2967032967032967,0.8,0.7508779976336426,one of the more intelligent children 's movies to hit theaters this year . 
228,1,16,16,0.16666666666666666,0.6,0.5875506381875011,it provides an honest look at a community striving to anchor itself in new grounds . 
142,0,16,16,-0.13333333333333333,0.6,0.22174051687150279,what better message than ` love thyself ' could young women of any size receive ? 
754,1,14,14,0.18681318681318682,0.7,0.7993467721225457,the film will play equally well on both the standard and giant screens . 
104,1,47,47,-0.0027752081406105457,0.0,0.25137342607522634,"it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . "
692,1,24,24,-0.043478260869565216,0.4,0.5173621988784876,"sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects , not the least of which is rebecca romijn-stamos . "
758,1,42,42,0.32636469221835074,0.6,0.6043816303889927,"may be far from the best of the series , but it 's assured , wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation . "
558,1,29,29,0.33497536945812806,0.6,0.29768989243822574,"although german cooking does not come readily to mind when considering the world 's best cuisine , mostly martha could make deutchland a popular destination for hungry tourists . "
89,1,19,19,0.3567251461988304,0.8,0.3916481086530679,"we know the plot 's a little crazy , but it held my interest from start to finish . "
604,1,22,22,0.012987012987012988,0.4,0.3477674987553023,vera 's technical prowess ends up selling his film short ; he smoothes over hard truths even as he uncovers them . 
432,0,9,9,0.3888888888888889,1.0,0.9081806900504312,coughs and sputters on its own postmodern conceit . 
32,1,8,8,0.0,1.0,0.8135636572486685,"a gorgeous , witty , seductive movie . "
30,1,28,28,0.32275132275132273,0.6,0.7545955436033219,"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . "
95,1,26,26,0.2923076923076923,0.6,0.9031196678818348,this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . 
223,1,17,17,0.38235294117647056,0.8,0.8702693149273588,"corny , schmaltzy and predictable , but still manages to be kind of heartwarming , nonetheless . "
238,0,11,11,0.41818181818181815,1.0,0.7829659233573568,"an occasionally funny , but overall limp , fish-out-of-water story . "
517,1,21,21,0.3142857142857143,0.8,0.40263818372288396,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . "
616,1,26,26,0.2123076923076923,0.5,0.6368403237478555,"there 's really only one good idea in this movie , but the director runs with it and presents it with an unforgettable visual panache . "
27,1,23,23,0.31225296442687744,0.7,0.7572689678151852,it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . 
574,0,15,15,0.2761904761904762,0.8,0.7319638961154952,"a broad , melodramatic estrogen opera that 's pretty toxic in its own right . "
203,0,2,2,1.0,1.0,0.9993739971253379,bad . 
733,0,28,28,0.48148148148148145,0.7,0.22849149526408719,"the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves . "
665,1,24,24,0.2608695652173913,0.6,0.6687088339849817,"and if you 're not nearly moved to tears by a couple of scenes , you 've got ice water in your veins . "
718,1,13,13,-0.1282051282051282,0.8,0.7571670315306291,"this is human comedy at its most amusing , interesting and confirming . "
859,1,15,15,0.4666666666666667,0.8,0.7213202076904436,"add yet another hat to a talented head , clooney 's a good director . "
429,0,20,20,0.12631578947368421,0.5,0.44605186014278797,"the film 's hackneyed message is not helped by the thin characterizations , nonexistent plot and pretentious visual style . "
225,1,21,21,0.3047619047619048,0.7,0.8337545941075549,"far more imaginative and ambitious than the trivial , cash-in features nickelodeon has made from its other animated tv series . "
