id,pred_label,orig_len,aug_len,aligned_tokens,kendall_tau,top_k_overlap,cosine_similarity,flip,text,aug_text
654,0,21,21,20,-0.031578947368421054,0.5,0.9457253917328283,False,a science-fiction pastiche so lacking in originality that if you stripped away its inspirations there would be precious little left . ,a science-fiction pastiche so lacking in originality that if you stripped aside IT inspirations there would be cute little left . 
114,1,27,27,26,0.37846153846153846,0.8,0.8758032288317137,False,"it haunts you , you ca n't forget it , you admire its conception and are able to resolve some of the confusions you had while watching it . ","it haunts you , you ca n't forget it , you admire IT concept and are able to resolve some of the confusions you had while watching it . "
25,0,24,24,24,0.12318840579710146,0.5,0.7939278498338284,False,"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ","snick , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . "
759,0,30,30,30,0.167816091954023,0.6,0.6956247271206677,False,"if there 's one thing this world needs less of , it 's movies about college that are written and directed by people who could n't pass an entrance exam . ","if there 's one thing this world needs less of , it 's movies about college that are written and directed by people who could n't pass an entrance exam . "
281,0,9,9,9,0.7222222222222222,1.0,0.9862723865628359,False,chokes on its own depiction of upper-crust decorum . ,chokes on its own depiction of upper-crust decorum . 
250,1,13,13,13,0.07692307692307693,0.7,0.5276120435729953,False,one of the more intelligent children 's movies to hit theaters this year . ,one of the more intelligent children 's movies to hit theaters this year . 
228,1,15,15,15,0.7523809523809524,1.0,0.9768109954422965,False,it provides an honest look at a community striving to anchor itself in new grounds . ,it provides an reliable look at a community striving to anchor itself in new grounds . 
142,0,13,13,13,0.3333333333333333,0.8,0.9207067779757275,False,what better message than ` love thyself ' could young women of any size receive ? ,what better message than ` love thyself ' could young women of any size receive ? 
754,1,13,13,13,0.6410256410256411,0.9,0.8018467319715898,False,the film will play equally well on both the standard and giant screens . ,the film will play equally well on both the standard and giant screens . 
104,1,44,44,44,0.47357293868921774,0.6,0.8281471390169882,False,"it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . ","it 's one of those baseball pictures where the torpedo is stoic , the wife is patient , the kids are as cute as all amaze-taboo and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . "
692,1,23,23,23,0.5177865612648221,0.6,0.9474632148088512,False,"sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects , not the least of which is rebecca romijn-stamos . ","sustains its dreamlike glide through a succession of cheesy conjunction and voluptuous cheap effects , not the least of which is rebecca romijn-stamos . "
758,1,39,39,39,0.21997300944669365,0.4,0.49941260152928296,False,"may be far from the best of the series , but it 's assured , wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation . ","may be far from the best of the series , but it 'sec assured , wonderfully reverential of its past and thrilling enough to make it abundantly clear that this flick phenomenon has once again reinvented itself for a new generation . "
558,1,27,27,27,0.5498575498575499,0.7,0.8475826950160023,False,"although german cooking does not come readily to mind when considering the world 's best cuisine , mostly martha could make deutchland a popular destination for hungry tourists . ","although german cooking does not come readily to mind when considering the man 's best cuisine , generally martha could make deutchland a popular destination for thirsty tourists . "
89,1,17,17,17,0.29411764705882354,0.7,0.871051814886415,False,"we know the plot 's a little crazy , but it held my interest from start to finish . ","we know the patch 'mho a little crazy , but it held my interest from start to finish . "
604,1,20,20,20,0.4105263157894737,0.6,0.9477977019849777,False,vera 's technical prowess ends up selling his film short ; he smoothes over hard truths even as he uncovers them . ,vera 's technical prowess ends up selling his film short ; he smoothes over hard truths even as he uncovers them . 
432,0,8,8,8,0.7142857142857143,1.0,0.9859264529053047,False,coughs and sputters on its own postmodern conceit . ,cough and sputters on its own postmodern conceit . 
32,1,5,5,5,0.6,1.0,0.993998375127189,False,"a gorgeous , witty , seductive movie . ","a gorgeous , witty , seductive movie . "
30,1,26,26,26,0.3046153846153846,0.7,0.7484207742974763,False,"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ","thank to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . "
95,1,24,24,24,0.35507246376811596,0.7,0.8643310188443,False,this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ,this riveting world war ii moral suspense story deals with the shadow side of american culture : racial bias in its ugly and diverse forms . 
223,1,13,13,13,0.717948717948718,0.9,0.98517818047142,False,"corny , schmaltzy and predictable , but still manages to be kind of heartwarming , nonetheless . ","corny , schmaltzy and predictable , but still manages to be kind of heartwarming , nonetheless . "
238,0,11,11,11,0.5272727272727272,0.9,0.9711012090988617,False,"an occasionally funny , but overall limp , fish-out-of-water story . ","an occasionally funny , but overall limp , fish-out-of-water story . "
517,1,19,19,19,0.695906432748538,0.8,0.9338714476022747,False,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ","non far beneath the surface , this reconfigured tale asks disturbing questions near those things we expect from military epics . "
616,1,24,24,24,0.3115942028985507,0.6,0.7106235836269988,False,"there 's really only one good idea in this movie , but the director runs with it and presents it with an unforgettable visual panache . ","there 'sulfur really only one practiced mind in this pic , but the conductor runs with it and presents it with an unforgettable visual panache . "
27,1,22,22,22,0.1341991341991342,0.5,0.4567241764617996,False,it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . ,it 'randomness an quirky treat that pokes fun at the democratic exercise while also examining its significance for those who take part . 
574,0,13,13,12,0.18181818181818182,0.9,0.8915994426044551,False,"a broad , melodramatic estrogen opera that 's pretty toxic in its own right . ","a tolerant , melodramatic estrogen opera that 's pretty toxic in IT own right . "
733,0,27,27,27,0.2934472934472934,0.5,-0.7859509637220443,True,"the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves . ","the man from elysian fields is a cold , blissfulness-less work that groans along thinking itself some crucial comment on how life throws us some beguiling curves . "
665,1,22,22,22,0.20346320346320346,0.6,0.8520224664553085,False,"and if you 're not nearly moved to tears by a couple of scenes , you 've got ice water in your veins . ","and if you 're not nearly moved to snap by a couple of scenes , you 've arrive ice water in your veins . "
718,1,11,11,10,0.6888888888888889,1.0,0.5858822067286462,False,"this is human comedy at its most amusing , interesting and confirming . ","this is human comedy at IT most amusing , interesting and confirming . "
859,1,13,13,13,0.6923076923076923,1.0,0.9402054739936835,False,"add yet another hat to a talented head , clooney 's a good director . ","add yet another hat to a talented head , clooney 's a good director . "
429,0,18,18,18,0.24183006535947713,0.6,0.7871398172003835,False,"the film 's hackneyed message is not helped by the thin characterizations , nonexistent plot and pretentious visual style . ","the film 's threadbare message is not helped by the thin characterizations , nonexistent patch and pretentious visual style . "
225,1,20,20,19,0.38011695906432746,0.7,0.8965407116109515,False,"far more imaginative and ambitious than the trivial , cash-in features nickelodeon has made from its other animated tv series . ","far more imaginative and ambitious than the little , cash-in lineament jukebox has made from IT former animated tv series . "
459,1,40,40,40,0.24615384615384617,0.3,0.3122176928250862,False,"gives you the steady pulse of life in a beautiful city viewed through the eyes of a character who , in spite of tragic loss and increasing decrepitude , knows in his bones that he is one of the luckiest men alive . ","gives you the steady pulse of life in a beautiful city viewed through the eyes of a character who , in spite of tragic loss and increasing decrepitude , knows in his bones that helium is one of the luckiest men alive . "
603,1,17,17,17,0.25,0.6,0.5012088747734313,False,"first-time writer-director serry shows a remarkable gift for storytelling with this moving , effective little film . ","first-time writer-director serry shows a remarkable gift for storytelling with this moving , effective little cinema . "
284,0,7,7,7,0.8095238095238095,1.0,0.9920150541170331,False,directed in a paint-by-numbers manner . ,directed in a paint-by-numbers manner . 
828,0,34,34,34,0.2905525846702317,0.7,0.7623866200174482,False,"this is the sort of burly action flick where one coincidence pummels another , narrative necessity is a drunken roundhouse , and whatever passes for logic is a factor of the last plot device left standing . ","this is the sort of burly action flick where one coincidence pummels another , narrative necessity is a sottish roundhouse , and whatever passes for logic is a component of the last plot device left standing . "
