id,pred_label,orig_len,aug_len,aligned_tokens,kendall_tau,top_k_overlap,cosine_similarity,text,aug_text
654,0,23,23,22,0.8095238095238095,0.9,0.9303070389517549,a science-fiction pastiche so lacking in originality that if you stripped away its inspirations there would be precious little left . ,a science-fiction pastiche so lacking in originality that if you stripped aside IT inspirations there would be cute little left . 
114,1,31,31,30,0.8482758620689655,0.9,0.9764263153852564,"it haunts you , you ca n't forget it , you admire its conception and are able to resolve some of the confusions you had while watching it . ","it haunts you , you ca n't forget it , you admire IT concept and are able to resolve some of the confusions you had while watching it . "
25,0,28,28,28,0.9312169312169312,0.9,0.941220961582191,"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ","snick , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . "
759,0,35,35,35,1.0,1.0,1.0,"if there 's one thing this world needs less of , it 's movies about college that are written and directed by people who could n't pass an entrance exam . ","if there 's one thing this world needs less of , it 's movies about college that are written and directed by people who could n't pass an entrance exam . "
281,0,11,11,11,1.0,1.0,1.0,chokes on its own depiction of upper-crust decorum . ,chokes on its own depiction of upper-crust decorum . 
250,1,15,15,15,1.0,1.0,0.9999999999999998,one of the more intelligent children 's movies to hit theaters this year . ,one of the more intelligent children 's movies to hit theaters this year . 
228,1,16,16,16,0.9166666666666666,0.9,0.9903882738710791,it provides an honest look at a community striving to anchor itself in new grounds . ,it provides an reliable look at a community striving to anchor itself in new grounds . 
142,0,16,16,16,1.0,1.0,0.9999999999999999,what better message than ` love thyself ' could young women of any size receive ? ,what better message than ` love thyself ' could young women of any size receive ? 
754,1,14,14,14,1.0,1.0,0.9999999999999998,the film will play equally well on both the standard and giant screens . ,the film will play equally well on both the standard and giant screens . 
104,1,50,50,50,0.7044897959183674,0.6,0.8978790602103011,"it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . ","it 's one of those baseball pictures where the torpedo is stoic , the wife is patient , the kids are as cute as all amaze-taboo and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . "
692,0,26,26,26,1.0,1.0,0.9999999999999999,"sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects , not the least of which is rebecca romijn-stamos . ","sustains its dreamlike glide through a succession of cheesy conjunction and voluptuous cheap effects , not the least of which is rebecca romijn-stamos . "
