id,pred_label,orig_len,aug_len,aligned_tokens,kendall_tau,top_k_overlap,cosine_similarity,flip,text,aug_text
632,0,9,9,9,1.0,1.0,1.0000000000000002,False,just embarrassment and a vague sense of shame . ,just embarrassment and a vague sense of shame . 
546,0,30,30,28,0.9153439153439153,1.0,0.9950162649037234,False,"on the heels of the ring comes a similarly morose and humorless horror movie that , although flawed , is to be commended for its straight-ahead approach to creepiness . ","on the heels of the ring comes a similarly morose and humorless horror movie that , although flawed , is to be commended for IT straight-forwards approach to creepiness . "
726,1,28,28,28,0.9153439153439153,1.0,0.993102832193456,False,"it gets onto the screen just about as much of the novella as one could reasonably expect , and is engrossing and moving in its own right . ","it gets onto the screen just about as often of the novella as one could reasonably expect , and is engrossing and moving in its own right . "
374,0,24,24,24,0.9130434782608695,1.0,0.9828839340298213,False,"the movie is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty . ","the movie is what materialize when you blow up small potatoes to 10 times their natural size , and it ai n't pretty . "
584,0,21,21,21,0.7238095238095238,0.9,0.7044871386329621,False,a hamfisted romantic comedy that makes our girl the hapless facilitator of an extended cheap shot across the mason-dixon line . ,a hamfisted amorous comedy that piddle our girl the piteous facilitator of an run cheap shot across the mason-dixon line . 
599,0,6,6,6,1.0,1.0,1.0,False,big fat waste of time . ,big fat waste of time . 
749,0,20,20,20,1.0,1.0,0.9999999999999999,False,a working class `` us vs. them '' opera that leaves no heartstring untugged and no liberal cause unplundered . ,a working class `` us vs. them '' opera that leaves no heartstring untugged and no liberal cause unplundered . 
169,1,13,13,13,1.0,1.0,1.0000000000000002,False,leigh 's film is full of memorable performances from top to bottom . ,leigh 's film is full of memorable performances from top to bottom . 
793,1,18,18,17,0.8235294117647058,0.9,0.9712331057187301,False,"... an otherwise intense , twist-and-turn thriller that certainly should n't hurt talented young gaghan 's resume . ","... an otherwise intense , wind-and-turn thriller that surely should n't hurt talented immature gaghan 's resume . "
844,0,19,19,17,0.7941176470588235,0.9,0.9632868700336491,False,"given how heavy-handed and portent-heavy it is , this could be the worst thing soderbergh has ever done . ","given how heavy-pass and portent-impenetrable it is , this could be the worst thing soderbergh has ever practice . "
340,0,24,24,23,0.7233201581027668,0.9,0.9928398970194785,False,"the most hopelessly monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ","the most hopelessly monotonous film of the year , noteworthy only for the whatsis of being filmed as a single unbroken 87-bit take . "
392,0,11,11,11,1.0,1.0,1.0,False,"an overemphatic , would-be wacky , ultimately tedious sex farce . ","an overemphatic , would-be wacky , ultimately tedious sex farce . "
650,0,10,10,10,1.0,1.0,0.9999999999999999,False,"too slow , too long and too little happens . ","too slow , too long and too little happens . "
808,1,8,8,8,1.0,1.0,1.0000000000000002,False,enormously entertaining for moviegoers of any age . ,enormously entertaining for moviegoers of any age . 
368,0,12,12,12,0.6666666666666666,1.0,0.9508018805342972,False,"the humor is forced and heavy-handed , and occasionally simply unpleasant . ","the humor is forced and heavy-handed , and occasionally only unpleasant . "
315,0,10,10,10,1.0,1.0,1.0,False,"complete lack of originality , cleverness or even visible effort ","complete lack of originality , cleverness or even visible effort "
400,1,18,18,17,0.9705882352941176,1.0,0.9904803919100936,False,it 's refreshing to see a girl-power movie that does n't feel it has to prove anything . ,it 's refreshing to see a girl-mogul movie that does n't feel it has to prove anything . 
713,0,22,22,22,1.0,1.0,0.9999999999999999,False,corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in . ,corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in . 
209,0,25,25,25,1.0,1.0,0.9999999999999999,False,"this is not the undisputed worst boxing movie ever , but it 's certainly not a champion - the big loser is the audience . ","this is not the undisputed worst boxing movie ever , but it 's certainly not a champion - the big loser is the audience . "
779,0,14,14,14,1.0,1.0,1.0,False,"prurient playthings aside , there 's little to love about this english trifle . ","prurient playthings aside , there 's little to love about this english trifle . "
672,0,20,20,20,1.0,1.0,0.9999999999999999,False,"in all , this is a watchable movie that 's not quite the memorable experience it might have been . ","in all , this is a watchable movie that 's not quite the memorable experience it might have been . "
373,0,16,16,16,1.0,1.0,1.0,False,not since freddy got fingered has a major release been so painful to sit through . ,not since freddy got fingered has a major release been so painful to sit through . 
111,0,16,16,16,0.5166666666666667,0.8,0.9485900334111191,False,"there is n't nearly enough fun here , despite the presence of some appealing ingredients . ","there is n't nearly enough fun here , disdain the bearing of some appealing ingredients . "
435,1,8,8,8,1.0,1.0,1.0,False,a marvel like none you 've seen . ,a marvel like none you 've seen . 
840,0,27,27,27,0.8632478632478633,1.0,0.9965099825486651,False,"what is 100 % missing here is a script of even the most elemental literacy , an inkling of genuine wit , and anything resembling acting . ","what is 100 % missing hither is a script of even the most elemental literacy , an inkling of genuine wit , and anything resembling acting . "
859,1,15,15,15,1.0,1.0,0.9999999999999998,False,"add yet another hat to a talented head , clooney 's a good director . ","add yet another hat to a talented head , clooney 's a good director . "
408,0,27,27,27,0.7720797720797721,0.9,0.846305628509721,False,"there are simply too many ideas floating around -- part farce , part sliding doors , part pop video -- and yet failing to exploit them . ","there are simply too many ideas floating around -- part farce , part sliding doors , region pop video -- and nevertheless flunk to exploit them . "
66,1,17,17,17,1.0,1.0,1.0,False,"if you 're hard up for raunchy college humor , this is your ticket right here . ","if you 're hard up for raunchy college humor , this is your ticket right here . "
517,1,21,21,21,0.9047619047619048,0.9,0.9994784808447902,False,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ","not far beneath the surface , this reconfigured tale asks disturbing questions about those matter we expect from military epics . "
715,0,29,29,28,0.8412698412698413,0.8,0.9458956979213017,False,"there 's too much falseness to the second half , and what began as an intriguing look at youth fizzles into a dull , ridiculous attempt at heart-tugging . ","there 's too much faithlessness to the second half , and what began as an intriguing look at youth fizzle into a dull , ridiculous attempt at heart-labour . "
684,1,15,15,15,0.7523809523809524,0.9,0.9691126256321116,False,"a study in shades of gray , offering itself up in subtle plot maneuvers ... ","a study in shades of gray , offering itself up in subtle patch maneuvers ... "
356,1,26,26,26,1.0,1.0,1.0,False,"jason x is positively anti-darwinian : nine sequels and 400 years later , the teens are none the wiser and jason still kills on auto-pilot . ","jason x is positively anti-darwinian : nine sequels and 400 years later , the teens are none the wiser and jason still kills on auto-pilot . "
413,0,18,18,18,0.7516339869281046,0.9,0.8640261774247443,False,at least one scene is so disgusting that viewers may be hard pressed to retain their lunch . ,at least unitary scene is so nauseate that viewers may be hard pressed to retain their lunch . 
839,0,12,12,12,0.7575757575757576,0.9,0.9144643314171303,False,but this films lacks the passion required to sell the material . ,but this films want the passion required to sell the textile . 
820,1,24,24,24,1.0,1.0,0.9999999999999999,False,"it has the charm of the original american road movies , feasting on the gorgeous , ramshackle landscape of the filmmaker 's motherland . ","it has the charm of the original american road movies , feasting on the gorgeous , ramshackle landscape of the filmmaker 's motherland . "
755,1,16,16,16,1.0,1.0,1.0,False,"... a fun little timewaster , helped especially by the cool presence of jean reno . ","... a fun little timewaster , helped especially by the cool presence of jean reno . "
819,0,33,33,33,0.8863636363636364,0.9,0.9874600485171603,False,"the movie is dawn of the dead crossed with john carpenter 's ghosts of mars , with zombies not as ghoulish as the first and trains not as big as the second . ","the movie is dawn of the dead crossed with john carpenter 's spectre of mars , with zombies not as ghoulish as the first and trains not as big as the second . "
318,0,21,21,21,0.8285714285714286,0.9,0.9782459276903537,False,hit and miss as far as the comedy goes and a big ole ' miss in the way of story . ,hit and miss as far as the clowning goes and a big ole ' miss in the way of story . 
679,1,12,12,12,0.8181818181818182,0.9,0.9308537748879215,False,filmmakers who can deftly change moods are treasures and even marvels . ,filmmakers who can deftly change moods are treasures and level marvels . 
18,0,10,10,10,0.7777777777777778,1.0,0.9792319388970495,False,... the movie is just a plain old monster . ,... the movie is just a plain old devil . 
361,0,21,21,21,0.9333333333333333,0.9,0.9787308080242143,False,"a very long movie , dull in stretches , with entirely too much focus on meal preparation and igloo construction . ","a very long movie , damp in stretches , with entirely too much focus on meal preparation and igloo construction . "
