id,pred_label,orig_len,aug_len,aligned_tokens,kendall_tau,top_k_overlap,cosine_similarity,flip,text,aug_text
168,1,12,12,12,1.0,1.0,1.0000000000000002,False,manages to be sweet and wickedly satisfying at the same time . ,manages to be sweet and wickedly satisfying at the same time . 
428,1,7,7,7,1.0,1.0,0.9999999999999998,False,"beautifully observed , miraculously unsentimental comedy-drama . ","beautifully observed , miraculously unsentimental comedy-drama . "
706,0,6,6,6,1.0,1.0,0.9999999999999999,False,how do you spell cliché ? ,how do you spell cliché ? 
870,0,11,11,11,1.0,1.0,0.9999999999999999,False,... is an arthritic attempt at directing by callie khouri . ,... is an arthritic attempt at directing by callie khouri . 
650,0,10,10,10,1.0,1.0,1.0,False,"too slow , too long and too little happens . ","too slow , too long and too little happens . "
288,1,32,32,32,0.6814516129032258,0.7,0.970667828128228,False,the quality of the art combined with the humor and intelligence of the script allow the filmmakers to present the biblical message of forgiveness without it ever becoming preachy or syrupy . ,the caliber of the art combined with the humor and intelligence of the script allow the filmmaker to present the biblical message of forgiveness without it ever becoming preachy or cloying . 
490,0,7,7,7,1.0,1.0,1.0,False,detox is ultimately a pointless endeavor . ,detox is ultimately a pointless endeavor . 
863,0,34,34,34,0.25133689839572193,0.5,0.6392392407812504,False,"while it 's genuinely cool to hear characters talk about early rap records ( sugar hill gang , etc. ) , the constant referencing of hip-hop arcana can alienate even the savviest audiences . ","while it 's genuinely cool to hear characters talk about former belt records ( sugar hill gang , etc. ) , the constant referencing of hip-hop arcana can disaffect even the savviest audiences . "
221,0,8,8,8,1.0,1.0,0.9999999999999999,False,my reaction in a word : disappointment . ,my reaction in a word : disappointment . 
811,0,31,31,31,0.8494623655913979,0.9,0.9991001506893877,False,the affectionate loopiness that once seemed congenital to demme 's perspective has a tough time emerging from between the badly dated cutesy-pie mystery scenario and the newfangled hollywood post-production effects . ,the affectionate loopiness that once seemed congenital to demme 's perspective has a tough time emerging from between the badly dated cutesy-pie mystery scenario and the newfangled hollywood post-production outcome . 
486,0,23,23,23,1.0,1.0,1.0,False,the script is n't very good ; not even someone as gifted as hoffman ( the actor ) can make it work . ,the script is n't very good ; not even someone as gifted as hoffman ( the actor ) can make it work . 
827,0,26,26,26,0.5815384615384616,0.8,0.8736882416894528,False,"the movie , directed by mick jackson , leaves no cliche unturned , from the predictable plot to the characters straight out of central casting . ","the movie , directed by mick jackson , provide no cliche unturned , from the predictable diagram to the characters straight out of central casting . "
524,1,31,31,30,0.4850574712643678,0.7,0.8287612107046106,False,the fly-on-the-wall method used to document rural french school life is a refreshing departure from the now more prevalent technique of the docu-makers being a visible part of their work . ,the fly-on-the-wall method used to document rural Gallic school life is a freshen departure from the now more prevalent technique of the docu-makers being a visible part of their work . 
187,1,19,19,19,0.6608187134502924,0.8,0.9796789644421976,False,` de niro ... is a veritable source of sincere passion that this hollywood contrivance orbits around . ' ,` de niro ... is a unquestionable source of sincere passion that this hollywood contrivance orbits around . ' 
517,1,21,21,20,0.2736842105263158,0.6,0.7305708121698763,False,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ","not Interahamwe below the surface , this reconfigured tale asks disturbing questions nigh those things we expect from military epics . "
540,1,9,9,9,1.0,1.0,1.0000000000000002,False,binoche makes it interesting trying to find out . ,binoche makes it interesting trying to find out . 
241,0,14,14,14,0.8681318681318682,1.0,0.9893778447545689,False,it appears that something has been lost in the translation to the screen . ,it appears that something has been lost in the rendering to the screen . 
807,1,10,10,10,1.0,1.0,1.0000000000000002,False,"just as moving , uplifting and funny as ever . ","just as moving , uplifting and funny as ever . "
3,1,20,20,20,0.37894736842105264,0.6,0.7591005661976911,False,"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ","the acting , costumes , music , cinematography and sound are all astonishing given the production 's spartan locales . "
