id,pred_label,orig_len,aug_len,aligned_tokens,kendall_tau,top_k_overlap,cosine_similarity,text,aug_text
654,0,21,21,20,-0.031578947368421054,0.5,0.9457253917328283,a science-fiction pastiche so lacking in originality that if you stripped away its inspirations there would be precious little left . ,a science-fiction pastiche so lacking in originality that if you stripped aside IT inspirations there would be cute little left . 
114,1,27,27,26,0.37846153846153846,0.8,0.8758032288317137,"it haunts you , you ca n't forget it , you admire its conception and are able to resolve some of the confusions you had while watching it . ","it haunts you , you ca n't forget it , you admire IT concept and are able to resolve some of the confusions you had while watching it . "
25,0,24,24,24,0.12318840579710146,0.5,0.7939278498338284,"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ","snick , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . "
759,0,30,30,30,0.167816091954023,0.6,0.6956247271206677,"if there 's one thing this world needs less of , it 's movies about college that are written and directed by people who could n't pass an entrance exam . ","if there 's one thing this world needs less of , it 's movies about college that are written and directed by people who could n't pass an entrance exam . "
281,0,9,9,9,0.7222222222222222,1.0,0.9862723865628359,chokes on its own depiction of upper-crust decorum . ,chokes on its own depiction of upper-crust decorum . 
250,1,13,13,13,0.07692307692307693,0.7,0.5276120435729953,one of the more intelligent children 's movies to hit theaters this year . ,one of the more intelligent children 's movies to hit theaters this year . 
228,1,15,15,15,0.7523809523809524,1.0,0.9768109954422965,it provides an honest look at a community striving to anchor itself in new grounds . ,it provides an reliable look at a community striving to anchor itself in new grounds . 
142,0,13,13,13,0.3333333333333333,0.8,0.9207067779757275,what better message than ` love thyself ' could young women of any size receive ? ,what better message than ` love thyself ' could young women of any size receive ? 
754,1,13,13,13,0.6410256410256411,0.9,0.8018467319715898,the film will play equally well on both the standard and giant screens . ,the film will play equally well on both the standard and giant screens . 
104,1,44,44,44,0.47357293868921774,0.6,0.8281471390169882,"it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . ","it 's one of those baseball pictures where the torpedo is stoic , the wife is patient , the kids are as cute as all amaze-taboo and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . "
692,1,23,23,23,0.5177865612648221,0.6,0.9474632148088512,"sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects , not the least of which is rebecca romijn-stamos . ","sustains its dreamlike glide through a succession of cheesy conjunction and voluptuous cheap effects , not the least of which is rebecca romijn-stamos . "
758,1,39,39,39,0.21997300944669365,0.4,0.49941260152928296,"may be far from the best of the series , but it 's assured , wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation . ","may be far from the best of the series , but it 'sec assured , wonderfully reverential of its past and thrilling enough to make it abundantly clear that this flick phenomenon has once again reinvented itself for a new generation . "
558,1,27,27,27,0.5498575498575499,0.7,0.8475826950160023,"although german cooking does not come readily to mind when considering the world 's best cuisine , mostly martha could make deutchland a popular destination for hungry tourists . ","although german cooking does not come readily to mind when considering the man 's best cuisine , generally martha could make deutchland a popular destination for thirsty tourists . "
89,1,17,17,17,0.29411764705882354,0.7,0.871051814886415,"we know the plot 's a little crazy , but it held my interest from start to finish . ","we know the patch 'mho a little crazy , but it held my interest from start to finish . "
604,1,20,20,20,0.4105263157894737,0.6,0.9477977019849777,vera 's technical prowess ends up selling his film short ; he smoothes over hard truths even as he uncovers them . ,vera 's technical prowess ends up selling his film short ; he smoothes over hard truths even as he uncovers them . 
432,0,8,8,8,0.7142857142857143,1.0,0.9859264529053047,coughs and sputters on its own postmodern conceit . ,cough and sputters on its own postmodern conceit . 
32,1,5,5,5,0.6,1.0,0.993998375127189,"a gorgeous , witty , seductive movie . ","a gorgeous , witty , seductive movie . "
30,1,26,26,26,0.3046153846153846,0.7,0.7484207742974763,"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ","thank to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . "
95,1,24,24,24,0.35507246376811596,0.7,0.8643310188443,this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ,this riveting world war ii moral suspense story deals with the shadow side of american culture : racial bias in its ugly and diverse forms . 
223,1,13,13,13,0.717948717948718,0.9,0.98517818047142,"corny , schmaltzy and predictable , but still manages to be kind of heartwarming , nonetheless . ","corny , schmaltzy and predictable , but still manages to be kind of heartwarming , nonetheless . "
238,0,11,11,11,0.5272727272727272,0.9,0.9711012090988617,"an occasionally funny , but overall limp , fish-out-of-water story . ","an occasionally funny , but overall limp , fish-out-of-water story . "
517,1,19,19,19,0.695906432748538,0.8,0.9338714476022747,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ","non far beneath the surface , this reconfigured tale asks disturbing questions near those things we expect from military epics . "
616,1,24,24,24,0.3115942028985507,0.6,0.7106235836269988,"there 's really only one good idea in this movie , but the director runs with it and presents it with an unforgettable visual panache . ","there 'sulfur really only one practiced mind in this pic , but the conductor runs with it and presents it with an unforgettable visual panache . "
27,1,22,22,22,0.1341991341991342,0.5,0.4567241764617996,it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . ,it 'randomness an quirky treat that pokes fun at the democratic exercise while also examining its significance for those who take part . 
574,0,13,13,12,0.18181818181818182,0.9,0.8915994426044551,"a broad , melodramatic estrogen opera that 's pretty toxic in its own right . ","a tolerant , melodramatic estrogen opera that 's pretty toxic in IT own right . "
665,1,22,22,22,0.20346320346320346,0.6,0.8520224664553085,"and if you 're not nearly moved to tears by a couple of scenes , you 've got ice water in your veins . ","and if you 're not nearly moved to snap by a couple of scenes , you 've arrive ice water in your veins . "
718,1,11,11,10,0.6888888888888889,1.0,0.5858822067286462,"this is human comedy at its most amusing , interesting and confirming . ","this is human comedy at IT most amusing , interesting and confirming . "
859,1,13,13,13,0.6923076923076923,1.0,0.9402054739936835,"add yet another hat to a talented head , clooney 's a good director . ","add yet another hat to a talented head , clooney 's a good director . "
429,0,18,18,18,0.24183006535947713,0.6,0.7871398172003835,"the film 's hackneyed message is not helped by the thin characterizations , nonexistent plot and pretentious visual style . ","the film 's threadbare message is not helped by the thin characterizations , nonexistent patch and pretentious visual style . "
225,1,20,20,19,0.38011695906432746,0.7,0.8965407116109515,"far more imaginative and ambitious than the trivial , cash-in features nickelodeon has made from its other animated tv series . ","far more imaginative and ambitious than the little , cash-in lineament jukebox has made from IT former animated tv series . "
459,1,40,40,40,0.24615384615384617,0.3,0.3122176928250862,"gives you the steady pulse of life in a beautiful city viewed through the eyes of a character who , in spite of tragic loss and increasing decrepitude , knows in his bones that he is one of the luckiest men alive . ","gives you the steady pulse of life in a beautiful city viewed through the eyes of a character who , in spite of tragic loss and increasing decrepitude , knows in his bones that helium is one of the luckiest men alive . "
603,1,17,17,17,0.25,0.6,0.5012088747734313,"first-time writer-director serry shows a remarkable gift for storytelling with this moving , effective little film . ","first-time writer-director serry shows a remarkable gift for storytelling with this moving , effective little cinema . "
284,0,7,7,7,0.8095238095238095,1.0,0.9920150541170331,directed in a paint-by-numbers manner . ,directed in a paint-by-numbers manner . 
828,0,34,34,34,0.2905525846702317,0.7,0.7623866200174482,"this is the sort of burly action flick where one coincidence pummels another , narrative necessity is a drunken roundhouse , and whatever passes for logic is a factor of the last plot device left standing . ","this is the sort of burly action flick where one coincidence pummels another , narrative necessity is a sottish roundhouse , and whatever passes for logic is a component of the last plot device left standing . "
6,0,4,4,4,1.0,1.0,0.9999952296235567,a sometimes tedious film . ,a sometimes tedious film . 
777,1,27,27,27,0.4188034188034188,0.9,0.787445390188087,"by candidly detailing the politics involved in the creation of an extraordinary piece of music , ( jones ) calls our attention to the inherent conflict between commerce and creativity . ","by candidly detailing the politics involved in the creation of an extraordinary piece of music , ( jones ) calls our attention to the inherent conflict between commerce and creativity . "
825,1,25,25,25,0.16666666666666666,0.6,0.7280482139161297,candid and comfortable ; a film that deftly balances action and reflection as it lets you grasp and feel the passion others have for their work . ,candid and comfortable ; a film that deftly balances action and reflection as it lets you grasp and feel the passion others have for their work . 
163,0,40,40,40,0.2512820512820513,0.5,0.525620133850741,"slapstick buffoonery can tickle many a preschooler 's fancy , but when it costs a family of four about $ 40 to see a film in theaters , why spend money on a dog like this when you can rent a pedigree instead ? ","slapstick buffoonery can tickle many a preschooler 's fancy , but when it costs a family of four about $ 40 to see a film in theaters , wherefore spend money on a dog care this when you can rent a pedigree instead ? "
714,1,20,20,20,0.24210526315789474,0.7,0.6923765754629574,( a ) n utterly charming and hilarious film that reminded me of the best of the disney comedies from the 60s . ,( a ) n utterly charming and hilarious film that reminded me of the best of the disney comedies from the 60s . 
856,1,20,20,20,0.5263157894736842,0.7,0.9537097105142455,"in a way , the film feels like a breath of fresh air , but only to those that allow it in . ","in a way , the celluloid feels like a breath of fresh air , but only to those that allow it in . "
348,0,6,6,6,0.4666666666666667,1.0,0.8849188625295549,just one bad idea after another . ,just unitary bad idea after another . 
837,1,9,9,9,0.6111111111111112,1.0,0.8892794488710437,will amuse and provoke adventurous adults in specialty venues . ,testament amuse and chivvy adventurous adults in specialty venues . 
159,1,9,9,9,0.3333333333333333,1.0,0.9276170391752546,"like leon , it 's frustrating and still oddly likable . ","same leon , it 's frustrating and still oddly likable . "
220,1,17,17,17,0.39705882352941174,0.7,0.8612825511168246,the socio-histo-political treatise is told in earnest strides ... ( and ) personal illusion is deconstructed with poignancy . ,the socio-histo-political treatise is told in earnest tread ... ( and ) personal illusion is deconstructed with poignancy . 
781,0,6,6,6,0.4666666666666667,1.0,0.9810996694762456,at once half-baked and overheated . ,at once half-baked and overheat . 
344,1,14,14,14,0.27472527472527475,0.7,0.6545952681839614,"there is a fabric of complex ideas here , and feelings that profoundly deepen them . ","there is a fabric of complex ideas here , and flavor that profoundly deepen them . "
94,1,22,22,22,0.26406926406926406,0.5,0.8639873715598707,"byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama . ","byler reveals his characters in a way that intrigues and eve fascinates U , and he never reduces the situation to simple melodrama . "
99,0,9,9,9,0.05555555555555555,1.0,0.6660935261463532,why make a documentary about these marginal historical figures ? ,why prepare a documentary about these marginal historical figures ? 
367,1,11,11,11,0.7454545454545455,0.9,0.9682990879495313,there has always been something likable about the marquis de sade . ,there has always been something likable about the marquis de sade . 
352,1,11,11,11,0.2,0.9,0.8940617932120578,"a swashbuckling tale of love , betrayal , revenge and above all , faith . ","a swashbuckling tale of love , betrayal , revenge and above all , faith . "
618,0,19,19,19,0.38011695906432746,0.7,0.8995383206226352,"without non-stop techno or the existential overtones of a kieslowski morality tale , maelström is just another winter sleepers . ","without non-stop techno or the experiential overtones of a kieslowski morality story , maelström is just another winter sleepers . "
270,1,8,8,8,0.6428571428571429,1.0,0.9629020333355275,dense with characters and contains some thrilling moments . ,dense with characters and carry some thrilling moments . 
44,0,17,17,17,0.38235294117647056,0.7,0.9511414337181173,"the title not only describes its main characters , but the lazy people behind the camera as well . ","the title non only describes its main characters , but the lazy people behind the camera as well . "
747,1,28,28,28,0.26455026455026454,0.7,0.7962015329259896,"what 's surprising about full frontal is that despite its overt self-awareness , parts of the movie still manage to break past the artifice and thoroughly engage you . ","what 's surprising about full frontal is that despite its overt self-awareness , parts of the movie still manage to break past the artifice and thoroughly engage you . "
470,1,12,12,12,0.6060606060606061,0.9,0.6362413923703669,reggio 's continual visual barrage is absorbing as well as thought-provoking . ,reggio 's continual visual barrage is absorbing as well as thought-beset . 
549,0,6,6,6,0.7333333333333333,1.0,0.9740269487639635,a coarse and stupid gross-out . ,a coarse and stupid gross-out . 
127,0,32,32,32,0.21370967741935484,0.7,0.7188983617416858,"in the end , we are left with something like two ships passing in the night rather than any insights into gay love , chinese society or the price one pays for being dishonest . ","in the end , we are left with something like two ships passing in the night rather than any insights into gay love , chinese society or the damage one pays for being dishonest . "
387,1,12,12,12,0.06060606060606061,0.8,0.5264551589213423,director andrew niccol ... demonstrates a wry understanding of the quirks of fame . ,director andrew niccol ... manifest a wry savvy of the quirks of fame . 
80,1,13,13,13,0.5897435897435898,0.8,0.944467734622982,the draw ( for `` big bad love '' ) is a solid performance by arliss howard . ,the draw ( for `` big bad love '' ) is a solid performance by arliss howard . 
565,1,16,16,16,0.43333333333333335,0.7,0.8284920217834046,there are some wonderfully fresh moments that smooth the moral stiffness with human kindness and hopefulness . ,there are some wonderfully fresh moments that smooth the moral stiffness with human forgivingness and hopefulness . 
300,1,9,9,9,0.8333333333333334,1.0,0.7745652565994608,"fun , flip and terribly hip bit of cinematic entertainment . ","fun , flip and awful hip snatch of cinematic entertainment . "
633,1,10,10,10,0.7333333333333333,1.0,0.9917433996021207,"still , as a visual treat , the film is almost unsurpassed . ","still , as a visual treat , the film is almost unsurpassed . "
