id,pred_label,orig_len,aug_len,aligned_tokens,kendall_tau,top_k_overlap,cosine_similarity,text,aug_text
654,0,21,21,20,0.7578947368421053,0.8,0.9891592432651429,a science-fiction pastiche so lacking in originality that if you stripped away its inspirations there would be precious little left . ,a science-fiction pastiche so lacking in originality that if you stripped aside IT inspirations there would be cute little left . 
114,1,29,29,28,0.8571428571428571,0.9,0.9739774587001715,"it haunts you , you ca n't forget it , you admire its conception and are able to resolve some of the confusions you had while watching it . ","it haunts you , you ca n't forget it , you admire IT concept and are able to resolve some of the confusions you had while watching it . "
25,0,27,27,27,0.9430199430199431,0.9,0.997006646177254,"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ","snick , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . "
759,0,31,31,31,1.0,1.0,1.0,"if there 's one thing this world needs less of , it 's movies about college that are written and directed by people who could n't pass an entrance exam . ","if there 's one thing this world needs less of , it 's movies about college that are written and directed by people who could n't pass an entrance exam . "
281,0,9,9,9,1.0,1.0,0.9999999999999998,chokes on its own depiction of upper-crust decorum . ,chokes on its own depiction of upper-crust decorum . 
250,1,14,14,14,1.0,1.0,1.0,one of the more intelligent children 's movies to hit theaters this year . ,one of the more intelligent children 's movies to hit theaters this year . 
228,1,16,16,16,0.8833333333333333,1.0,0.9430827720757277,it provides an honest look at a community striving to anchor itself in new grounds . ,it provides an reliable look at a community striving to anchor itself in new grounds . 
142,0,16,16,16,1.0,1.0,0.9999999999999999,what better message than ` love thyself ' could young women of any size receive ? ,what better message than ` love thyself ' could young women of any size receive ? 
754,1,14,14,14,1.0,1.0,1.0,the film will play equally well on both the standard and giant screens . ,the film will play equally well on both the standard and giant screens . 
104,1,47,47,46,0.8859903381642512,0.9,0.9822196850505419,"it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . ","it 's one of those baseball pictures where the torpedo is stoic , the wife is patient , the kids are as cute as all amaze-taboo and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . "
692,0,24,24,24,0.9057971014492754,1.0,0.9854058600261629,"sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects , not the least of which is rebecca romijn-stamos . ","sustains its dreamlike glide through a succession of cheesy conjunction and voluptuous cheap effects , not the least of which is rebecca romijn-stamos . "
758,1,42,42,42,0.8327526132404182,0.7,0.9600433199306322,"may be far from the best of the series , but it 's assured , wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation . ","may be far from the best of the series , but it 'sec assured , wonderfully reverential of its past and thrilling enough to make it abundantly clear that this flick phenomenon has once again reinvented itself for a new generation . "
558,1,29,29,29,0.8817733990147784,0.9,0.9850889493409976,"although german cooking does not come readily to mind when considering the world 's best cuisine , mostly martha could make deutchland a popular destination for hungry tourists . ","although german cooking does not come readily to mind when considering the man 's best cuisine , generally martha could make deutchland a popular destination for thirsty tourists . "
89,1,19,19,19,0.8128654970760234,0.9,0.9884058397092577,"we know the plot 's a little crazy , but it held my interest from start to finish . ","we know the patch 'mho a little crazy , but it held my interest from start to finish . "
604,1,22,22,22,1.0,1.0,1.0,vera 's technical prowess ends up selling his film short ; he smoothes over hard truths even as he uncovers them . ,vera 's technical prowess ends up selling his film short ; he smoothes over hard truths even as he uncovers them . 
432,0,9,9,9,0.9444444444444444,1.0,0.9973781440116786,coughs and sputters on its own postmodern conceit . ,cough and sputters on its own postmodern conceit . 
32,1,8,8,8,1.0,1.0,1.0,"a gorgeous , witty , seductive movie . ","a gorgeous , witty , seductive movie . "
30,1,28,28,28,0.8677248677248677,1.0,0.995025612464388,"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ","thank to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . "
95,1,26,26,26,0.8953846153846153,0.9,0.9980449470213455,this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ,this riveting world war ii moral suspense story deals with the shadow side of american culture : racial bias in its ugly and diverse forms . 
223,1,17,17,17,1.0,1.0,1.0000000000000002,"corny , schmaltzy and predictable , but still manages to be kind of heartwarming , nonetheless . ","corny , schmaltzy and predictable , but still manages to be kind of heartwarming , nonetheless . "
238,0,11,11,11,1.0,1.0,0.9999999999999999,"an occasionally funny , but overall limp , fish-out-of-water story . ","an occasionally funny , but overall limp , fish-out-of-water story . "
517,1,21,21,21,0.8285714285714286,0.9,0.993425866439026,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ","non far beneath the surface , this reconfigured tale asks disturbing questions near those things we expect from military epics . "
616,1,26,26,26,0.9323076923076923,1.0,0.9925996532845015,"there 's really only one good idea in this movie , but the director runs with it and presents it with an unforgettable visual panache . ","there 'sulfur really only one practiced mind in this pic , but the conductor runs with it and presents it with an unforgettable visual panache . "
27,1,23,23,23,0.7944664031620553,0.9,0.942519214643555,it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . ,it 'randomness an quirky treat that pokes fun at the democratic exercise while also examining its significance for those who take part . 
574,0,15,15,14,0.42857142857142855,0.7,0.919001224915279,"a broad , melodramatic estrogen opera that 's pretty toxic in its own right . ","a tolerant , melodramatic estrogen opera that 's pretty toxic in IT own right . "
203,0,2,2,2,1.0,1.0,1.0000000000000002,bad . ,bad . 
665,1,24,24,24,0.8333333333333334,1.0,0.9278561645883808,"and if you 're not nearly moved to tears by a couple of scenes , you 've got ice water in your veins . ","and if you 're not nearly moved to snap by a couple of scenes , you 've arrive ice water in your veins . "
718,1,13,13,12,0.8181818181818182,1.0,0.9919842053801943,"this is human comedy at its most amusing , interesting and confirming . ","this is human comedy at IT most amusing , interesting and confirming . "
859,1,15,15,15,1.0,1.0,1.0,"add yet another hat to a talented head , clooney 's a good director . ","add yet another hat to a talented head , clooney 's a good director . "
429,0,20,20,20,0.6947368421052632,0.9,0.9703841899847937,"the film 's hackneyed message is not helped by the thin characterizations , nonexistent plot and pretentious visual style . ","the film 's threadbare message is not helped by the thin characterizations , nonexistent patch and pretentious visual style . "
225,1,21,21,20,0.8,0.9,0.9711954192746101,"far more imaginative and ambitious than the trivial , cash-in features nickelodeon has made from its other animated tv series . ","far more imaginative and ambitious than the little , cash-in lineament jukebox has made from IT former animated tv series . "
